Variable L: j, s
33258405, 1, 1
133359227, 1, 2
193076358, 1, 3
22666065, 1, 4
18951960, 1, 5
59337144, 1, 6
21931855, 1, 7
10382025, 1, 8
26478579, 1, 9
128636982, 1, 10
29121867, 1, 11
12990757, 1, 12
248794318, 1, 13
13678516, 1, 14
38033484, 1, 15
10933475, 1, 16
10818632, 1, 17
194514102, 1, 18
33926191, 1, 19
439931950, 2, 1
439931950, 2, 2
439931950, 2, 3
439931950, 2, 4
439931950, 2, 5
439931950, 2, 6
439931950, 2, 7
439931950, 2, 8
439931950, 2, 9
439931950, 2, 10
439931950, 2, 11
439931950, 2, 12
439931950, 2, 13
439931950, 2, 14
439931950, 2, 15
439931950, 2, 16
439931950, 2, 17
439931950, 2, 18
439931950, 2, 19
439931950, 3, 1
439931950, 3, 2
439931950, 3, 3
439931950, 3, 4
439931950, 3, 5
439931950, 3, 6
439931950, 3, 7
439931950, 3, 8
439931950, 3, 9
439931950, 3, 10
439931950, 3, 11
439931950, 3, 12
439931950, 3, 13
439931950, 3, 14
439931950, 3, 15
439931950, 3, 16
439931950, 3, 17
439931950, 3, 18
439931950, 3, 19
439931950, 4, 1
439931950, 4, 2
439931950, 4, 3
439931950, 4, 4
439931950, 4, 5
439931950, 4, 6
439931950, 4, 7
439931950, 4, 8
439931950, 4, 9
439931950, 4, 10
439931950, 4, 11
439931950, 4, 12
439931950, 4, 13
439931950, 4, 14
439931950, 4, 15
439931950, 4, 16
439931950, 4, 17
439931950, 4, 18
439931950, 4, 19
439931950, 5, 1
439931950, 5, 2
439931950, 5, 3
439931950, 5, 4
439931950, 5, 5
439931950, 5, 6
439931950, 5, 7
439931950, 5, 8
439931950, 5, 9
439931950, 5, 10
439931950, 5, 11
439931950, 5, 12
439931950, 5, 13
439931950, 5, 14
439931950, 5, 15
439931950, 5, 16
439931950, 5, 17
439931950, 5, 18
439931950, 5, 19
439931950, 6, 1
439931950, 6, 2
439931950, 6, 3
439931950, 6, 4
439931950, 6, 5
439931950, 6, 6
439931950, 6, 7
439931950, 6, 8
439931950, 6, 9
439931950, 6, 10
439931950, 6, 11
439931950, 6, 12
439931950, 6, 13
439931950, 6, 14
439931950, 6, 15
439931950, 6, 16
439931950, 6, 17
439931950, 6, 18
439931950, 6, 19
439931950, 7, 1
439931950, 7, 2
439931950, 7, 3
439931950, 7, 4
439931950, 7, 5
439931950, 7, 6
439931950, 7, 7
439931950, 7, 8
439931950, 7, 9
439931950, 7, 10
439931950, 7, 11
439931950, 7, 12
22021782, 7, 13
439931950, 7, 14
439931950, 7, 15
439931950, 7, 16
439931950, 7, 17
439931950, 7, 18
439931950, 7, 19
439931950, 8, 1
439931950, 8, 2
439931950, 8, 3
439931950, 8, 4
439931950, 8, 5
439931950, 8, 6
439931950, 8, 7
439931950, 8, 8
439931950, 8, 9
439931950, 8, 10
439931950, 8, 11
439931950, 8, 12
439931950, 8, 13
439931950, 8, 14
439931950, 8, 15
439931950, 8, 16
439931950, 8, 17
439931950, 8, 18
439931950, 8, 19
439931950, 9, 1
439931950, 9, 2
439931950, 9, 3
439931950, 9, 4
439931950, 9, 5
439931950, 9, 6
439931950, 9, 7
439931950, 9, 8
439931950, 9, 9
439931950, 9, 10
439931950, 9, 11
439931950, 9, 12
439931950, 9, 13
439931950, 9, 14
439931950, 9, 15
439931950, 9, 16
439931950, 9, 17
439931950, 9, 18
439931950, 9, 19
439931950, 10, 1
439931950, 10, 2
439931950, 10, 3
439931950, 10, 4
439931950, 10, 5
439931950, 10, 6
439931950, 10, 7
439931950, 10, 8
439931950, 10, 9
439931950, 10, 10
439931950, 10, 11
439931950, 10, 12
439931950, 10, 13
439931950, 10, 14
439931950, 10, 15
439931950, 10, 16
439931950, 10, 17
439931950, 10, 18
439931950, 10, 19
439931950, 11, 1
439931950, 11, 2
439931950, 11, 3
439931950, 11, 4
439931950, 11, 5
439931950, 11, 6
439931950, 11, 7
439931950, 11, 8
439931950, 11, 9
439931950, 11, 10
439931950, 11, 11
439931950, 11, 12
439931950, 11, 13
439931950, 11, 14
439931950, 11, 15
439931950, 11, 16
439931943, 11, 17
439931950, 11, 18
439931950, 11, 19
439931950, 12, 1
439931950, 12, 2
439931950, 12, 3
439931950, 12, 4
439931950, 12, 5
