Variable L: j, s
26180183, 1, 1
284411786, 1, 2
19204463, 1, 3
12794658, 1, 4
42733927, 1, 5
9690581, 1, 6
4572449, 1, 7
9544202, 1, 8
14311840, 1, 9
56897791, 1, 10
32163320, 1, 11
29023207, 1, 12
18519963, 1, 13
12931428, 1, 14
49476379, 1, 15
92452394, 1, 16
21294729, 1, 17
9040759, 1, 18
48402624, 1, 19
439931950, 2, 1
439931950, 2, 2
439931950, 2, 3
439931950, 2, 4
439931950, 2, 5
439931950, 2, 6
439931950, 2, 7
439931950, 2, 8
439931950, 2, 9
439931950, 2, 10
439931950, 2, 11
439931950, 2, 12
439931950, 2, 13
439931950, 2, 14
439931950, 2, 15
439931950, 2, 16
439931950, 2, 17
439931950, 2, 18
439931950, 2, 19
439931950, 3, 1
439931950, 3, 2
439931950, 3, 3
439931950, 3, 4
439931950, 3, 5
439931950, 3, 6
439931950, 3, 7
439931950, 3, 8
439931950, 3, 9
439931950, 3, 10
439931950, 3, 11
439931950, 3, 12
439931950, 3, 13
439931950, 3, 14
439931950, 3, 15
439931950, 3, 16
439931950, 3, 17
439931950, 3, 18
439931950, 3, 19
439931950, 4, 1
439931950, 4, 2
439931950, 4, 3
439931950, 4, 4
439931950, 4, 5
439931950, 4, 6
439931950, 4, 7
439931950, 4, 8
439931950, 4, 9
439931950, 4, 10
439931950, 4, 11
439931950, 4, 12
439931950, 4, 13
439931950, 4, 14
439931950, 4, 15
439931950, 4, 16
439931950, 4, 17
439931950, 4, 18
439931950, 4, 19
439931950, 5, 1
439931950, 5, 2
439931950, 5, 3
439931950, 5, 4
439931950, 5, 5
439931950, 5, 6
439931950, 5, 7
439931950, 5, 8
439931950, 5, 9
439931950, 5, 10
439931950, 5, 11
439931950, 5, 12
439931950, 5, 13
439931950, 5, 14
439931950, 5, 15
439931950, 5, 16
439931950, 5, 17
439931950, 5, 18
439931950, 5, 19
439931950, 6, 1
439931950, 6, 2
439931950, 6, 3
439931950, 6, 4
439931950, 6, 5
439931950, 6, 6
439931950, 6, 7
439931950, 6, 8
439931950, 6, 9
439931950, 6, 10
439931950, 6, 11
439931950, 6, 12
439931950, 6, 13
439931950, 6, 14
439931950, 6, 15
439931950, 6, 16
439931950, 6, 17
439931950, 6, 18
439931950, 6, 19
439931950, 7, 1
439931950, 7, 2
439931950, 7, 3
439931950, 7, 4
439931950, 7, 5
439931950, 7, 6
439931950, 7, 7
439931950, 7, 8
439931950, 7, 9
439931950, 7, 10
439931950, 7, 11
439931950, 7, 12
439931950, 7, 13
439931950, 7, 14
439931950, 7, 15
439931950, 7, 16
439931950, 7, 17
439931950, 7, 18
439931950, 7, 19
439931950, 8, 1
439931950, 8, 2
439931950, 8, 3
439931950, 8, 4
439931950, 8, 5
439931950, 8, 6
439931950, 8, 7
439931950, 8, 8
439931950, 8, 9
439931950, 8, 10
439931950, 8, 11
439931950, 8, 12
439931950, 8, 13
439931950, 8, 14
439931950, 8, 15
439931950, 8, 16
439931950, 8, 17
439931950, 8, 18
439931950, 8, 19
439931950, 9, 1
439931950, 9, 2
439931950, 9, 3
439931950, 9, 4
439931950, 9, 5
439931950, 9, 6
439931950, 9, 7
439931950, 9, 8
439931950, 9, 9
439931950, 9, 10
439931950, 9, 11
439931950, 9, 12
439931950, 9, 13
439931950, 9, 14
439931950, 9, 15
439931950, 9, 16
439931950, 9, 17
439931950, 9, 18
439931950, 9, 19
439931950, 10, 1
439931950, 10, 2
439931950, 10, 3
439931950, 10, 4
439931950, 10, 5
439931950, 10, 6
439931950, 10, 7
439931950, 10, 8
439931950, 10, 9
439931950, 10, 10
439931950, 10, 11
439931950, 10, 12
439931950, 10, 13
439931950, 10, 14
439931950, 10, 15
439931950, 10, 16
439931950, 10, 17
439931950, 10, 18
439931950, 10, 19
439931950, 11, 1
439931950, 11, 2
439931950, 11, 3
439931950, 11, 4
439931950, 11, 5
439931950, 11, 6
439931950, 11, 7
439931950, 11, 8
439931950, 11, 9
439931950, 11, 10
439931950, 11, 11
439931950, 11, 12
439931950, 11, 13
439931950, 11, 14
439931950, 11, 15
439931950, 11, 16
439931950, 11, 17
439931950, 11, 18
439931950, 11, 19
439931950, 12, 1
439931950, 12, 2
439931950, 12, 3
439931950, 12, 4
439931950, 12, 5
439931950, 12, 6
439931950, 12, 7
439931950, 12, 8
439931950, 12, 9
439931950, 12, 10
439931950, 12, 11
439931950, 12, 12
439931950, 12, 13
439931950, 12, 14
439931950, 12, 15
439931950, 12, 16
439931950, 12, 17
439931950, 12, 18
439931950, 12, 19
439931950, 13, 1
439931950, 13, 2
439931950, 13, 3
439931950, 13, 4
439931950, 13, 5
439931950, 13, 6
439931950, 13, 7
439931950, 13, 8
439931950, 13, 9
439931950, 13, 10
439931950, 13, 11
439931950, 13, 12
439931950, 13, 13
439931950, 13, 14
439931950, 13, 15
439931950, 13, 16
439931950, 13, 17
439931950, 13, 18
439931950, 13, 19
439931950, 14, 1
439931950, 14, 2
439931950, 14, 3
439931950, 14, 4
439931950, 14, 5
439931950, 14, 6
439931950, 14, 7
439931950, 14, 8
439931950, 14, 9
439931950, 14, 10
439931950, 14, 11
439931950, 14, 12
439931950, 14, 13
439931950, 14, 14
439931950, 14, 15
439931950, 14, 16
439931950, 14, 17
439931950, 14, 18
439931950, 14, 19
439931950, 15, 1
439931950, 15, 2
439931950, 15, 3
439931950, 15, 4
439931950, 15, 5
439931950, 15, 6
439931950, 15, 7
439931950, 15, 8
439931950, 15, 9
439931950, 15, 10
439931950, 15, 11
439931950, 15, 12
439931950, 15, 13
439931950, 15, 14
439931950, 15, 15
439931950, 15, 16
439931950, 15, 17
439931950, 15, 18
439931950, 15, 19
439931950, 16, 1
439931950, 16, 2
439931950, 16, 3
439931950, 16, 4
439931950, 16, 5
439931950, 16, 6
439931950, 16, 7
439931950, 16, 8
439931950, 16, 9
439931950, 16, 10
439931950, 16, 11
439931950, 16, 12
439931950, 16, 13
439931950, 16, 14
439931950, 16, 15
439931950, 16, 16
439931950, 16, 17
439931950, 16, 18
439931950, 16, 19
439931950, 17, 1
439931950, 17, 2
439931950, 17, 3
439931950, 17, 4
439931950, 17, 5
439931950, 17, 6
439931950, 17, 7
439931950, 17, 8
439931950, 17, 9
439931950, 17, 10
439931950, 17, 11
439931950, 17, 12
439931950, 17, 13
439931950, 17, 14
439931950, 17, 15
439931950, 17, 16
439931947, 17, 17
439931950, 17, 18
439931950, 17, 19
439931950, 18, 1
439931950, 18, 2
439931950, 18, 3
439931950, 18, 4
439931950, 18, 5
439931950, 18, 6
439931950, 18, 7
439931950, 18, 8
